Year,State,Yes,No,lat,long,code
2003,Utah,83.5,16.5,39.36070017100048,-111.58713063499972,UT
2006,Florida,79.6,20.4,28.93204037700048,-81.92896053899966,FL
2006,Connecticut,89.9,10.1,41.56266102000046,-72.64984095199964,CT
1996,Illinois,88.2,11.8,40.48501028300046,-88.99771017799969,IL
2003,Pennsylvania,89.1,10.9,40.79373015200048,-77.86070029399963,PA
2010,Massachusetts,95.7,4.3,42.27687047000046,-72.08269067499964,MA
2003,Delaware,91.3,8.7,39.008830667000495,-75.57774116799965,DE
1998,Missouri,87.0,13.0,38.63579077600048,-92.56630005299968,MO
1999,Kentucky,85.5,14.5,37.64597027100047,-84.77497104799966,KY
2003,Florida,81.1,18.9,28.93204037700048,-81.92896053899966,FL
2008,Colorado,83.7,16.3,38.843840757000464,-106.13361092099969,CO
2010,Idaho,80.9,19.1,43.68263000500048,-114.3637300419997,ID
1999,Pennsylvania,89.8,10.2,40.79373015200048,-77.86070029399963,PA
2001,West Virginia,80.7,19.3,38.66551020200046,-80.71264013499967,WV
2009,District of Columbia,94.0,6.0,38.89037138500049,-77.03196112699965,DC
2005,Washington,85.3,14.7,47.52227862900048,-120.47001078999972,WA
2007,Kansas,88.0,12.0,38.34774030000045,-98.20078122699964,KS
2005,South Carolina,81.1,18.9,33.998821303000454,-81.04537120699968,SC
2007,Illinois,84.9,15.1,40.48501028300046,-88.99771017799969,IL
2004,Wisconsin,90.0,10.0,44.39319117400049,-89.81637074199966,WI
2009,Connecticut,90.6,9.4,41.56266102000046,-72.64984095199964,CT
1999,Utah,87.6,12.4,39.36070017100048,-111.58713063499972,UT
