Year,State,Yes,No,lat,long,code
2005,Maine,87.2,12.8,45.254228894000505,-68.98503133599962,ME
1995,Tennessee,88.6,11.4,35.68094058000048,-85.77449091399967,TN
2008,Arizona,82.2,17.8,34.865970280000454,-111.76381127699972,AZ
2001,Texas,77.1,22.9,31.827240407000488,-99.42677020599967,TX
2010,South Carolina,81.2,18.8,33.998821303000454,-81.04537120699968,SC
2006,Montana,83.4,16.6,47.06652897200047,-109.42442064499971,MT
1996,Alaska,79.2,20.8,64.84507995700051,-147.7220590359997,AK
2001,Maryland,89.7,10.3,39.29058096400047,-76.60926011099963,MD
1998,Utah,88.1,11.9,39.36070017100048,-111.58713063499972,UT
2001,Mississippi,81.3,18.7,32.745510099000455,-89.53803082499968,MS
2002,Missouri,86.8,13.2,38.63579077600048,-92.56630005299968,MO
2001,South Dakota,89.8,10.2,44.35313005300048,-100.3735306369997,SD
1997,Michigan,90.1,9.9,44.6613195430005,-84.71439026999968,MI
2010,Connecticut,90.2,9.8,41.56266102000046,-72.64984095199964,CT
1999,Georgia,86.4,13.6,32.83968109300048,-83.62758034599966,GA
2008,Florida,82.5,17.5,28.93204037700048,-81.92896053899966,FL
2003,Tennessee,87.4,12.6,35.68094058000048,-85.77449091399967,TN
2001,Rhode Island,91.4,8.6,41.70828019300046,-71.52247031399963,RI
1995,Nevada,86.9,13.1,39.493240390000494,-117.07184056399969,NV
1996,New Jersey,88.9,11.1,40.13057004800049,-74.27369128799967,NJ
2009,Minnesota,92.0,8.0,46.35564873600049,-94.79420050299969,MN
1997,Oregon,87.5,12.5,44.56744942400047,-120.15503132599969,OR
2006,Texas,74.8,25.2,31.827240407000488,-99.42677020599967,TX
2002,Mississippi,77.3,22.7,32.745510099000455,-89.53803082499968,MS
1995,Oregon,87.0,13.0,44.56744942400047,-120.15503132599969,OR
2001,Maine,87.1,12.9,45.254228894000505,-68.98503133599962,ME
2004,Iowa,89.4,10.6,42.46940091300047,-93.81649055599968,IA
2008,Ohio,87.7,12.3,40.06021014100048,-82.40426005599966,OH
2002,Montana,82.2,17.8,47.06652897200047,-109.42442064499971,MT
2004,Indiana,85.1,14.9,39.766910452000445,-86.14996019399968,IN
1997,Ohio,89.5,10.5,40.06021014100048,-82.40426005599966,OH
2008,Georgia,84.0,16.0,32.83968109300048,-83.62758034599966,GA
1997,Texas,75.8,24.2,31.827240407000488,-99.42677020599967,TX
1999,Rhode Island,89.4,10.6,41.70828019300046,-71.52247031399963,RI
1999,Arkansas,83.9,16.1,34.74865012400045,-92.27449074299966,AR
1995,Texas,82.7,17.3,31.827240407000488,-99.42677020599967,TX
2009,Louisiana,80.5,19.5,31.31266064400046,-92.44568007099969,LA
2001,North Dakota,88.3,11.7,47.47531977900047,-100.11842104899966,ND
2006,Alaska,82.5,17.5,64.84507995700051,-147.7220590359997,AK
2003,Iowa,88.1,11.9,42.46940091300047,-93.81649055599968,IA
1996,West Virginia,82.3,17.7,38.66551020200046,-80.71264013499967,WV
2007,Idaho,81.1,18.9,43.68263000500048,-114.3637300419997,ID
2002,Delaware,91.2,8.8,39.008830667000495,-75.57774116799965,DE
2003,Washington,85.6,14.4,47.52227862900048,-120.47001078999972,WA
2001,California,85.0,15.0,37.63864012300047,-120.99999953799971,CA
2010,Rhode Island,87.7,12.3,41.70828019300046,-71.52247031399963,RI
